Topic_Area,Indicator_Name,Description,Sample_Size,Percent_,ObjectId
Colorectal Cancer Screening Among Adults 50 Years and Older,Appropriate Colorectal Cancer Screening,"Among adults aged 50 years and older, the proportion who had either a fecal occult blood test within the past year, a sigmoidoscopy within the past five years, or a colonoscopy within the past ten years.",780,65.6,24
Health Care Access,No Dental Visit in Past Year,The proportion of adults who reported that they had not visited a dentist or dental clinic for any reason in the past year,980,49.6,25
Health Care Access,6+ Teeth Missing,"The proportion of adult s who reported that they were missing 6+ teeth due to tooth decay or gum disease. This excludes teeth lost for other reasons, such as injury or orthodontics.",975,25,26
Immunizations Among Adults Aged 65 Years and Older,Had Flu Vaccine in Past Year,"Among adults aged 65 years and older, the proportion who reported that they had a flu vaccine, either by an injection in the arm or sprayed in the nose during the past 12 months.",384,43.9,27
Immunizations Among Adults Aged 65 Years and Older,Ever Had Pneumonia Vaccine,"Among adults aged 65 years and older, the proportion who reported that they ever had a pneumococcal vaccine.",361,53,28
HIV Testing Among Adults Aged 18-64 Years,Ever Had an HIV Test,"Among adults aged 18 - 64 years, the proportion who reported that they ever had been tested for HIV, apart from tests that were part of a blood donation. ""Don't know"" was considered a valid response.",907,68.3,29
Asthma,Ever Told Have Asthma,"The proportion of adults who reported that they were ever told by a doctor, nurse, or other health care professional that they had asthma.",1444,20.9,30
Asthma,Still Had Asthma,"Among all adults, the proportion who reported that they still had asthma.",1437,14.7,31
Chronic Obstructive Pulmonary Disease,"Ever Told COPD, Emphysema or Chronic Bronchitis","Among all adults, the proportion who reported ever being told by a doctor that they had chronic obstructive pulmonary disease (COPD), emphysema or chronic bronchitis.",1445,12.3,32
Arthritis,Ever Told Arthritis,"Among all adults, the proportion who reported ever being told by a health care professional that they had some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia.",1447,31,33
Heart Attack,Ever Told Heart Attack,"Among all adults, the proportion who had ever been told by a doctor that they had a heart attack or myocardial infarction.",1434,5.5,34
Angina or Coronary Heart Disease,Ever Told Angina or Coronary Heart Disease,"Among all adults, the proportion who had ever been told by a doctor that they had angina or coronary heart disease.",1441,4.6,35
Stroke,Ever Told Stroke,"Among all adults, the proportion who had ever been told by a doctor that they had a stroke.",1448,6,36
Cardiovascular Disease,Ever Told Any Cardiovascular Disease,"Among all adults, the proportion who had ever been told by a doctor that they had a heart attack, coronary heart disease or a stroke.",1434,11.4,37
Cancer,Ever Told Cancer,"Among all adults, the proportion who reported ever being told by a doctor that they had skin cancer or any other type of cancer.",1445,6.9,38
Diabetes,Ever Told Diabetes,The proportion of adults who reported that they were ever told by a doctor that they have diabetes. Women who had diabetes only during pregnancy and adults who were diagnosed with pre-diabetes were considered to not have been diagnosed with diabetes.,1450,13.1,39
Kidney Disease,Ever Told Kidney Disease,"Among all adults, the proportion who reported ever being told by a doctor that they had kidney disease.",1443,4.2,40
Depression,Ever Told Depression,"Among all adults, the proportion who reported ever being told by a doctor that they had a depressive disorder including depression, major depression, dysthymia, or minor depression.",1444,21.1,41
