X,Y,incident_id,incident_location,call_source,call_description,category,priority,call_group,call_code,called_at,intake_time,dispatch_time,travel_time,on_scene_time,total_response_time,total_time,zip_code,precinct,scout_car_area,neighborhood_name,council_district,longitude,latitude,ESRI_OID
-83.24007302,42.40946455,2.02236E+11,Heyden St & Grand River Ave,E911 ,DISTURBANCE,DISTURB ,3,8PCT  ,825030,2022/12/30 18:26:40+00,0.5,13.6,15,26.4,30.4,56.8,48219,8,810,Miller Grove,1,-83.24007302,42.40946455,515054
-83.06498737,42.3619406,2.02236E+11,E Ferry St & John R St,W911 ,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2,3PCT  ,811020,2022/12/30 18:23:42+00,1.2,4,12.1,62.5,18.5,81,48202,3,306,Cultural Center,5,-83.06498737,42.3619406,515055
-83.17201754,42.37746409,2.02236E+11,Capitol St & Sorrento St,W911 ,DISTURBANCE,DISTURB ,3,2PCT  ,825030,2022/12/30 18:23:04+00,2,12.3,6,1.8,20.4,22.2,48227,2,205,Pride Area Community,7,-83.17201754,42.37746409,515056
-83.18617981,42.42186195,2.02236E+11,Freeland St & Thatcher St,W911 ,UNKNOWN PROBLEM,UNKPROB ,2,12PCT ,843020,2022/12/30 18:21:51+00,0.3,0.3,11,31.4,11.7,43.1,48235,12,1206,Winship,2,-83.18617981,42.42186195,515057
-83.02161703,42.36129961,2.02236E+11,Mack Ave & Mount Elliott St,W911 ,MENTAL NOT VIOLENT,MENTPPRS,3,7PCT  ,852030,2022/12/30 18:20:02+00,1.8,-2.3,4.9,2.6,8.6,11.2,48207,7,707,Gratiot-Grand,5,-83.02161703,42.36129961,515058
-83.22093725,42.38431452,2.02236E+11,W Davison St & Penrod St,W911 ,DISTURBANCE,DISTURB ,3,6PCT  ,825030,2022/12/30 18:13:35+00,3.6,6.7,2.8,15.1,13.1,28.2,48223,6,604,Schoolcraft Southfield,1,-83.22093725,42.38431452,515059
-83.05800366,42.35145256,2.02236E+11,John R St & E Alexandrine St,W911 ,SUICIDE THREAT,SUICTHRT,2,3PCT  ,312020,2022/12/30 18:12:48+00,1.8,1.5,2.7,12.9,6.4,19.3,48201,3,309,Midtown,6,-83.05800366,42.35145255,515060
-83.00476745,42.43647774,2.02236E+11,Lappin St & Hoover St,W911 ,DISTURBANCE,DISTURB ,3,9PCT  ,825030,2022/12/30 18:07:27+00,1.3,8.7,0,7,10.9,17.9,48205,9,901,Pulaski,3,-83.00476745,42.43647774,515061
-83.0855542,42.44003348,2.02236E+11,Orleans St & E State Fair St,E911 ,FELONIOUS ASSAULT IP,FA IP   ,1,11PCT ,343010,2022/12/30 18:01:05+00,0.7,-1.5,1,99.7,2.8,102.5,48203,11,1101,Nolan,3,-83.0855542,42.44003348,515062
-83.00068676,42.42731715,2.02236E+11,Bradford St & Greiner St,W911 ,AUTO OR PED H&R REPORT,HRREPT  ,3,9PCT  ,812030,2022/12/30 17:59:26+00,1.7,1.2,11.7,41.8,15.3,57.1,48205,9,905,Von Steuben,3,-83.00068676,42.42731715,515063
-82.99765386,42.44369883,2.02236E+11,Fairmount Dr & Hamburg St,PHONE,SHOTSPOTTER,SHOTSPT ,1,9PCT  ,SST342,2022/12/30 17:59:09+00,0.3,0.1,2.5,16.1,2.9,19.1,48205,9,901,Conner Creek,3,-82.99765386,42.44369883,515064
-83.22799656,42.43527882,2.02236E+11,Stahelin Ave & Saint Martins Ave,W911 ,SUICIDE THREAT,SUICTHRT,2,8PCT  ,312020,2022/12/30 17:54:37+00,1.4,28.5,8.9,30,54.6,84.6,48219,8,803,O'Hair Park,1,-83.22799656,42.43527882,515065
-83.09542398,42.31730777,2.02236E+11,McKinstry St & Christiancy St,W911 ,MALICIOUS DESTRUCTION I/P,MDPIP   ,3,4PCT  ,381030,2022/12/30 17:52:57+00,2.5,1.7,8.8,18.7,14.4,33.1,48209,4,410,Central Southwest,6,-83.09542398,42.31730777,515066
-82.94864693,42.42786292,2.02236E+11,Wayburn St & Casino St,W911 ,DISTURBANCE,DISTURB ,3,9PCT  ,825030,2022/12/30 17:52:51+00,3.4,32.8,13.5,15.2,51.8,67,48224,9,907,Moross-Morang,4,-82.94864693,42.42786292,515067
-83.08872844,42.32193414,2.02236E+11,W Grand Blvd & Bagley St,W911 ,INVESTIGATE AUTO,INVAUTO ,5,4PCT  ,376050,2022/12/30 17:51:42+00,1.6,1.5,9.1,17.5,12.2,29.8,48216,4,410,Hubbard Farms,6,-83.08872844,42.32193414,515068
-83.10463944,42.36729212,2.02236E+11,Linwood St & W Euclid St,W911 ,NARCOTICS I/P,NARCIP  ,3,10PCT ,386035,2022/12/30 17:51:25+00,1.7,152.1,6.3,18.5,160.4,178.9,48206,10,1007,Virginia Park Community,5,-83.10463944,42.36729212,515069
-83.24483092,42.36699716,2.02236E+11,Orangelawn St & Pierson St,W911 ,SQUATTER DISTURBANCE,SQDISTB ,3,6PCT  ,825032,2022/12/30 17:50:41+00,1.7,6.4,3.8,21.1,12,33.1,48228,6,606,Franklin Park,7,-83.24483091,42.36699716,515070
-82.9912126,42.35378383,2.02236E+11,Iroquois St & E Jefferson Ave,W911 ,WELL BEING CHECK,WBC     ,3,7PCT  ,843031,2022/12/30 17:49:48+00,2.2,76.1,3.5,49.2,84.2,133.5,48214,7,711,Gold Coast,5,-82.9912126,42.35378383,515071
-82.9611078,42.44909241,2.02236E+11,Carlisle St & Crusade St,W911 ,MENTAL VIOLENT NOT ARMED,MNTLNARM,2,9PCT  ,852021,2022/12/30 17:48:14+00,1.3,-0.4,8.3,51.2,10.3,61.5,48205,9,903,Regent Park,3,-82.9611078,42.44909241,515072
-83.16166869,42.36756437,2.02236E+11,Griggs St & Violetlawn St,W911 ,DISTURBANCE,DISTURB ,3,2PCT  ,825030,2022/12/30 17:47:21+00,1.8,30,38.9,21.6,72.2,93.8,48204,2,208,Barton-McFarland,7,-83.16166869,42.36756437,515073
-83.06146715,42.35271491,2.02236E+11,Woodward Ave & E Canfield St,PHONE,VERIFIED ALR / PERSON W/O CODE,VERALRM ,2,3PCT  ,805020,2022/12/30 17:47:08+00,1.5,12.6,5.7,9.1,20.1,29.2,48201,3,309,Midtown,6,-83.06146715,42.35271491,515074
-83.11067922,42.35630633,2.02236E+11,W I 96 Service Drive & W Grand Blvd,W911 ,DISTURBANCE,DISTURB ,1,10PCT ,GL8777,2022/12/30 17:46:02+00,3,-1.8,11.7,37.9,15.1,52.9,48204,10,1006,Petoskey-Otsego,6,-83.11067922,42.35630633,515075
-83.19633959,42.39184601,2.02236E+11,Grand River Ave & Whitcomb St,W911 ,HOLDING PERSON,HOLDPERS,3,2PCT  ,845030,2022/12/30 17:45:30+00,3.2,31.5,3.8,397.1,39.5,436.6,48227,2,202,Cadillac Community,1,-83.19633959,42.39184601,515076
-83.20739391,42.37781988,2.02236E+11,Asbury Park & Allonby St,W911 ,BURGLARY OCCUPIED RESD I/P,HI1 I/P ,1,6PCT  ,352010,2022/12/30 17:44:52+00,0.5,1.1,4.1,8.3,5.7,14,48227,6,605,Plymouth-I96,7,-83.20739391,42.37781988,515077
-83.19759219,42.34604041,2.02236E+11,Majestic St & Winthrop St,W911 ,UNKNOWN PROBLEM,UNKPROB ,2,6PCT  ,843020,2022/12/30 17:44:21+00,0.7,28.6,21.8,58.8,55.4,114.3,48228,6,611,Warren Ave Community,7,-83.19759219,42.34604041,515078
-83.12721426,42.31144861,2.02236E+11,Springwells St & W Vernor Hwy,PHONE,HAZARDOUS CONDITIONS,HAZCON  ,1,4PCT  ,873010,2022/12/30 17:40:09+00,1.3,-1.8,6.1,5.9,8.4,14.2,48209,4,407,Springwells,6,-83.12721426,42.31144861,515079
-83.17187882,42.3819958,2.02236E+11,Sorrento St & Grand River Ave,E911 ,DISTURBANCE,DISTURB ,3,2PCT  ,825030,2022/12/30 17:40:05+00,1.6,9.1,0,31.1,10.8,41.9,48227,2,205,Grand River-I96,7,-83.17187882,42.3819958,515080
-82.94547355,42.39122091,2.02236E+11,Barham St & Lozier St,W911 ,BURGLARY OCCUPANT AWAY I/P,HI2IP   ,2,5PCT  ,352520,2022/12/30 17:36:54+00,1.3,-0.5,9.5,34.3,13.6,47.9,48224,5,506,Morningside,4,-82.94547355,42.39122091,515081
-82.93230764,42.42401871,2.02236E+11,Unknown & Sanilac St,E911 ,ANIMAL COMPLAINT,ANMLCOMP,5,9PCT  ,862050,2022/12/30 17:35:06+00,1.7,11.8,11.7,2.6,25.6,28.2,48224,9,907,Moross-Morang,4,-82.93230764,42.42401871,515082
-83.14286439,42.34719998,2.02236E+11,Majestic St & Prairie St,W911 ,INVESTIGATE PERSON,INVPERS ,3,2PCT  ,843030,2022/12/30 17:33:47+00,1.9,46.4,4.3,17.6,53,70.7,48210,2,210,Midwest,6,-83.14286439,42.34719998,515083
-82.94770351,42.38730827,2.02236E+11,Alter Rd & Mack Ave,W911 ,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2,5PCT  ,811020,2022/12/30 17:33:17+00,0.4,5,0,8.1,6.7,14.9,48215,5,503,Morningside,4,-82.94770351,42.38730827,515084
-83.28492609,42.40705513,2.02236E+11,Salem St & Puritan St,W911 ,DISTURBANCE,DISTURB ,3,8PCT  ,825030,2022/12/30 17:31:56+00,1.7,4.9,7.1,32.2,13.8,45.9,48219,8,809,South of Six,1,-83.28492609,42.40705513,515085
-83.15969278,42.40252341,2.02236E+11,Wyoming St & Fenkell St,E911 ,DISTURBANCE,DISTURB ,3,12PCT ,825030,2022/12/30 17:28:05+00,1.3,5.5,9.9,33.2,17.1,50.3,48238,12,1210,Bethune Community,2,-83.15969278,42.40252341,515086
-83.18036178,42.40569954,2.02236E+11,Tracey St & Midland St,W911 ,MISSING SERIOUS,MISSSER ,1,2PCT  ,844010,2022/12/30 17:26:28+00,3.7,-6.5,0,119.3,32.7,152,48227,2,201,Bethune Community,2,-83.18036178,42.40569954,515087
-83.07873274,42.35210228,2.02236E+11,W Warren Ave & Trumbull St,PHONE,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2,3PCT  ,811020,2022/12/30 17:26:00+00,3.3,1.1,19.7,90.3,32.7,123,48208,3,308,Woodbridge,6,-83.07873274,42.35210228,515088
-83.14376213,42.3448003,2.02236E+11,W Warren Ave & American St,W911 ,FELONIOUS ASSAULT IP,FA IP   ,1,2PCT  ,343010,2022/12/30 17:25:43+00,0.9,0.7,12.1,68.7,15.2,83.9,48210,2,210,Midwest,6,-83.14376213,42.3448003,515089
-83.2727072,42.42907019,2.02236E+11,W 7 Mile Rd & Shiawassee Dr,W911 ,KIDNAPPING,KIDNAP  ,1,8PCT  ,346010,2022/12/30 17:20:54+00,1.9,1.5,7,25.8,11.2,37,48219,8,801,Seven Mile-Rouge,1,-83.2727072,42.42907019,515090
-83.07862501,42.37096826,2.02236E+11,W Bethune St & Bethune Ct,W911 ,UDAA REPORT,UDAAREPT,4,3PCT  ,372040,2022/12/30 17:20:35+00,4,1.1,5.5,25.5,11.7,37.2,48202,3,303,New Center Commons,5,-83.07862501,42.37096826,515091
-83.21192014,42.43385147,2.02236E+11,Vassar Ave & Biltmore St,W911 ,FELONIOUS ASSAULT IP,FA IP   ,1,8PCT  ,343010,2022/12/30 17:19:24+00,1.1,0.2,0,35.1,4.5,39.6,48235,8,804,Greenfield,2,-83.21192014,42.43385147,515092
-82.94260236,42.39729115,2.02236E+11,Berkshire St & Munich St,W911 ,MENTAL VIOLENT NOT ARMED,MNTLNARM,2,5PCT  ,852021,2022/12/30 17:17:23+00,1.1,27.6,2.9,38.4,32.1,70.5,48224,5,506,Morningside,4,-82.94260235,42.39729115,515093
-83.12225281,42.38329774,2.02236E+11,Monterey St & Wildemere St,W911 ,MENTAL VIOLENT NOT ARMED,MNTLNARM,2,10PCT ,852021,2022/12/30 17:15:50+00,1.1,8.6,4.9,11.4,15.7,27.1,48206,10,1005,Dexter-Linwood,5,-83.12225281,42.38329774,515094
-83.0213573,42.36090702,2.02236E+11,Ludden St & Mount Elliott St,W911 ,DISTURBANCE,DISTURB ,1,7PCT  ,GL8777,2022/12/30 17:15:46+00,1.6,0.4,2.4,2.9,14.3,17.1,48207,7,707,McDougall-Hunt,5,-83.0213573,42.36090702,515095
-82.95084744,42.39200295,2.02236E+11,Waveney St & Alter Rd,W911 ,ASSIST OTHER,AO      ,2,5PCT  ,831020,2022/12/30 17:14:31+00,1.7,1,8.3,54.8,15.7,70.5,48215,5,506,Fox Creek,4,-82.95084744,42.39200295,515096
-83.02598487,42.34295046,2.02236E+11,Macomb St & Chene St,E911 ,DEAD PERSON OBSERVED,OOBVDEAD,1,7PCT  ,313010,2022/12/30 17:13:30+00,0,4.5,4.7,158.6,9.2,167.8,48207,7,709,Elmwood Park,5,-83.02598487,42.34295046,515097
-83.20746128,42.43393906,2.02236E+11,Vassar Ave & Saint Marys St,W911 ,PARKING COMPLAINT,PARK    ,3,8PCT  ,814035,2022/12/30 17:13:09+00,1.1,2.7,23.9,76.5,30.6,107.1,48235,8,804,Greenfield,2,-83.20746128,42.43393906,515098
-83.21619216,42.40116229,2.02236E+11,Fenkell St & Archdale St,W911 ,ASSAULT AND BATTERY IP-JH,AB IP/JH,2,8PCT  ,347020,2022/12/30 17:12:57+00,2.1,0,12.9,13.5,22.2,35.6,48227,8,814,Grand River-St Marys,1,-83.21619216,42.40116228,515099
